OID,FID_,X,Y,BCE_Waitem
131,131,1749762.899728009,5930886.618858269,0.797798735
132,132,1745942.31751803,5930977.889069679,0.178526434
133,133,1745781.091343607,5930935.390691143,0.674266679
134,134,1745843.132736186,5930934.049356967,0.593405504
135,135,1745909.636592272,5930932.908720328,0.583714285
136,136,1749229.336587288,5930875.927826362,0.697857148
137,137,1749638.263701561,5930869.590741484,0.182407406
138,138,1749729.163966256,5930873.378598597,0.677257136
139,139,1745877.057303597,5930924.665730382,0.62716979
140,140,1745933.179560775,5930922.980411737,-0.46012502
141,141,1745795.071608556,5930923.889445742,0.605405387
142,142,1749270.905818643,5930868.708700869,0.125755933
143,143,1749670.540866611,5930863.232553321,0.471384129
144,144,1745956.896800915,5930902.637393489,0.409749998
145,145,1749260.822639458,5930845.558554888,0.336269227
146,146,1749649.75659305,5930838.75541279,0.640187506
147,147,1742841.272509661,5930945.323030984,-0.950749993
148,148,1749196.494444307,5930836.712987047,0.823829257
149,149,1749637.553154907,5930828.999977419,0.635000014
150,150,1742783.18525086,5930925.462129771,-0.91368794
151,151,1742839.649019673,5930925.412697018,-0.592916672
152,152,1742872.56510528,5930927.950571916,0.669603959
153,153,1745940.177596173,5930863.047070328,0.114875004
154,154,1745955.887101732,5930853.011034946,1.258392865
155,155,1749243.913541635,5930796.008382143,0.232424999
156,156,1749620.024122994,5930780.039228582,5.046249956
157,157,1742711.363813582,5930909.727719613,-0.814881521
158,158,1749235.633326354,5930781.199048443,0.26237888
159,159,1742828.244371578,5930885.728342802,-0.225911943
160,160,1749598.127158525,5930807.749649096,0.433941352
161,161,1742699.605600163,5930867.940148223,-0.949000043
162,162,1745871.07307776,5930868.648396172,0.448571429
163,163,1745764.161506259,5930806.778815663,2.946153831
164,164,1749206.95698908,5930746.808061779,0.465633424
165,165,1742666.863732681,5930828.611480593,0.151625001
166,166,1742690.724579035,5930845.87816993,-0.946812776
167,167,1745775.23875357,5930780.714052049,1.850088217
168,168,1745809.985725267,5930764.364592261,0.461005023
169,169,1745785.858229607,5930751.04057026,0.541687499
170,170,1749140.089678014,5930695.377941229,0.521803828
171,171,1745801.47059973,5930725.849664461,-0.079135804
172,172,1749113.344919369,5930668.689224692,0.568049996
173,173,1749593.966891085,5930630.379782273,0.417375003
174,174,1748968.919486938,5930620.124746709,0.913057686
175,175,1749095.568043454,5930640.455946109,0.515439432
176,176,1748961.504316903,5930610.392541671,0.88469233
177,177,1749601.462474504,5930600.340989212,0.408024689
178,178,1749520.923258481,5930581.812472987,-0.14075
179,179,1742798.997863009,5930697.399740352,0.517049179
180,180,1749620.986400637,5930570.091582919,3.81090327
181,181,1749592.904402737,5930583.845708821,1.56095048
182,182,1745675.332680688,5930618.326188454,0.692375006
183,183,1745655.374740919,5930608.322158084,0.749142868
184,184,1745939.761035089,5930603.860720663,0.16784375
185,185,1748957.275648306,5930557.483722579,1.026382221
186,186,1745647.049673568,5930598.709230475,0.704210522
187,187,1745959.637950303,5930593.552425445,0.04269231
188,188,1745983.524488457,5930583.175275687,-0.127654324
189,189,1749022.788340688,5930535.685781799,0.406762502
190,190,1745654.420537778,5930579.024965732,0.595185168
191,191,1745999.392055225,5930572.935062577,-0.164500006
192,192,1749014.508402926,5930520.876550447,0.450469136
193,193,1749607.648941705,5930495.5563388,2.906818186
194,194,1745690.624439072,5930582.396951449,0.101064022
195,195,1745878.439347635,5930545.295833354,0.71333333
196,196,1749615.40607697,5930480.466723651,0.755569615
197,197,1745649.889867013,5930539.025197218,-0.366125008
198,198,1746239.125624604,5930528.594248075,1.384999997
199,199,1749623.25045676,5930470.360163498,0.525624995
200,200,1742790.545534078,5930581.745522829,0.660803566
201,201,1749631.107545577,5930460.980291071,0.403846164
202,202,1745549.314471946,5930520.801390672,0.006999986
203,203,1749646.958057966,5930450.006556899,0.575375005
204,204,1745621.155799843,5930509.809368922,0.012222223
205,205,1746065.960408021,5930524.669193253,1.132246744
206,206,1749654.815101655,5930440.626660992,0.44153846
207,207,1745517.280166473,5930500.771250385,3.55830994
208,208,1745637.267029515,5930504.348796408,-0.094062502
209,209,1748957.368248243,5930445.443693732,0.283109243
210,210,1749670.665546305,5930429.65288039,0.597000004
211,211,1745505.966529354,5930490.972328537,3.898267684
212,212,1745593.341411395,5930490.728450993,2.407314817
213,213,1745535.104064336,5930484.7539095,2.893684217
214,214,1748941.185293217,5930422.463467462,0.145913791
215,215,1742675.862448033,5930649.796027175,-0.920491061
216,216,1742788.211610404,5930529.208453665,0.476910373
217,217,1745556.471925037,5930470.107797776,4.858400145
218,218,1749683.207730196,5930409.397553666,0.630711736
219,219,1742675.372551991,5930509.468441701,0.436419744
220,220,1742912.195790961,5930519.925253931,0.041150442
221,221,1745584.916145784,5930467.432661255,4.351898718
222,222,1745612.446032435,5930459.911870155,2.39073172
